Year,Total Citations,Number of Literatures Published
2003.0,17.0,2
2004.0,24.0,4
2005.0,29.0,3
2006.0,6.0,6
2007.0,94.0,4
2008.0,133.0,6
2009.0,21.0,2
2010.0,2.0,1
2011.0,334.0,7
2012.0,392.0,10
2013.0,497.0,16
2014.0,597.0,21
2015.0,866.0,33
2016.0,1245.0,41
2017.0,1337.0,54
2018.0,2682.0,87
2019.0,3394.0,133
2020.0,5843.0,201
2021.0,4139.0,239
2022.0,4419.0,318
2023.0,2180.0,318
2024.0,507.0,350
2025.0,0.0,1
